[2018-03-16T00:44:10.750] [INFO] protractorLog4js - Logger
[2018-03-16T00:47:50.525] [INFO] protractorLog4js - Scenario 1
[2018-03-16T00:47:53.480] [INFO] protractorLog4js - Scenario 2
[2018-03-16T00:48:20.148] [INFO] protractorLog4js - Scenario 1
[2018-03-16T00:48:22.961] [INFO] protractorLog4js - Scenario 2
[2018-03-16T00:49:56.630] [INFO] protractorLog4js - Scenario 1
[2018-03-16T00:49:59.399] [INFO] protractorLog4js - Scenario 2
[2018-03-16T00:53:05.120] [INFO] protractorLog4js - Scenario 1
[2018-03-16T00:53:08.245] [INFO] protractorLog4js - Scenario 2
[2018-03-16T01:04:51.397] [INFO] protractorLog4js - Scenario 1
[2018-03-16T01:05:03.049] [INFO] protractorLog4js - Scenario 2
